"","Element ID","/Layer_1/Non-ponded Ag. Percolation (-)(AF/year)"
"1",1,0
"2",2,0
"3",3,2100.24884382296
"4",4,1578.96284237079
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,830.428173899448
"16",16,451.174352491641
"17",17,802.797012106245
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,0
"35",35,981.643524699703
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,0
"81",81,0
"82",82,0
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,234.455917374631
"95",95,117.886723829284
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,259.209219069519
"101",101,0
"102",102,0
"103",103,170.23010877365
"104",104,0
"105",105,0
"106",106,0
"107",107,0
"108",108,0
"109",109,0
"110",110,0
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"120",120,0
"121",121,0
"122",122,0
"123",123,0
"124",124,0
"125",125,206.665551847043
"126",126,187.333094046178
"127",127,0
"128",128,26.9505716723122
"129",129,31.2051420407571
"130",130,0
"131",131,390.369084346495
"132",132,0
"133",133,592.05805471637
"134",134,439.747623836448
"135",135,135.312016733595
"136",136,0
"137",137,101.041640731389
"138",138,0
"139",139,0
"140",140,0
"141",141,0
"142",142,0
"143",143,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,0
"152",152,0
"153",153,0
"154",154,0
"155",155,235.264654625371
"156",156,295.06595819337
"157",157,101.997763075878
"158",158,209.411950535025
"159",159,0
"160",160,0
"161",161,0
"162",162,306.059285817296
"163",163,74.9917866029844
"164",164,236.646988655303
"165",165,0
"166",166,0
"167",167,0
"168",168,0
"169",169,10.8218892627629
"170",170,136.275931447934
"171",171,186.332958485466
"172",172,0
"173",173,0
"174",174,0
"175",175,41.4549013143269
"176",176,77.7965069973549
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,0
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,0
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,0
"192",192,0
"193",193,0
"194",194,0
"195",195,0
"196",196,0
"197",197,134.045344834539
"198",198,747.671941567284
"199",199,732.629607065134
"200",200,614.298847169461
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,0
"207",207,143.894267287535
"208",208,120.73050554469
"209",209,133.948719567856
"210",210,0
"211",211,0
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,0
"217",217,0
"218",218,0
"219",219,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,0
"229",229,0
"230",230,0
"231",231,0
"232",232,0
"233",233,0
"234",234,0
"235",235,0
"236",236,0
"237",237,227.263126675667
"238",238,242.895832031727
"239",239,156.508657877586
"240",240,130.831071581332
"241",241,472.102488912638
"242",242,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"247",247,0
"248",248,213.422972400405
"249",249,135.192192825788
"250",250,106.080480978122
"251",251,135.798303030509
"252",252,0
"253",253,0
"254",254,0
"255",255,0
"256",256,0
"257",257,0
"258",258,0
"259",259,0
"260",260,0
"261",261,0
"262",262,0
"263",263,0
"264",264,0
"265",265,0
"266",266,0
"267",267,0
"268",268,0
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,0
"274",274,0
"275",275,0
"276",276,313.117863332755
"277",277,252.623556959243
"278",278,221.483382101737
"279",279,0
"280",280,410.364347926871
"281",281,579.344772630043
"282",282,108.918235042122
"283",283,0
"284",284,0
"285",285,0
"286",286,0
"287",287,0
"288",288,60.3424794923501
"289",289,262.479163417741
"290",290,225.139716190849
"291",291,116.377439863037
"292",292,287.404648607525
"293",293,0
"294",294,0
"295",295,0
"296",296,0
"297",297,0
"298",298,0
"299",299,0
"300",300,0
"301",301,0
"302",302,0
"303",303,415.435541481273
"304",304,0
"305",305,138.617661797251
"306",306,487.393217440795
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,0
"312",312,0
"313",313,0
"314",314,0
"315",315,0
"316",316,0
"317",317,0
"318",318,0
"319",319,0
"320",320,0
"321",321,0
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,318.234869095438
"327",327,440.916317297614
"328",328,0
"329",329,71.2460200951896
"330",330,42.2408444812356
"331",331,98.7352170757751
"332",332,161.268316840364
"333",333,0
"334",334,131.012345554977
"335",335,35.1045046472519
"336",336,138.08217601549
"337",337,0
"338",338,0
"339",339,0
"340",340,0
"341",341,0
"342",342,0
"343",343,0
"344",344,0
"345",345,0
"346",346,0
"347",347,399.021678334923
"348",348,0
"349",349,0
"350",350,0
"351",351,0
"352",352,500.401891850371
"353",353,0
"354",354,0
"355",355,0
"356",356,0
"357",357,0
"358",358,0
"359",359,0
"360",360,0
"361",361,0
"362",362,0
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,120.26946768546
"373",373,0
"374",374,0
"375",375,0
"376",376,0
"377",377,0
"378",378,0
"379",379,0
"380",380,0
"381",381,179.594165006404
"382",382,189.437321891229
"383",383,60.3425390096118
"384",384,0
"385",385,0
"386",386,0
"387",387,0
"388",388,0
"389",389,0
"390",390,0
"391",391,0
"392",392,0
"393",393,0
"394",394,0
"395",395,0
"396",396,0
"397",397,0
"398",398,0
"399",399,0
"400",400,0
"401",401,544.15521174892
"402",402,260.773510262714
"403",403,689.102227153547
"404",404,0
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,0
"414",414,0
"415",415,0
"416",416,0
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,556.607285355121
"422",422,439.711274852742
"423",423,384.277311866815
"424",424,0
"425",425,496.946293089499
"426",426,383.243466925755
"427",427,0
"428",428,0
"429",429,151.173692767833
"430",430,0
"431",431,0
"432",432,0
